title,speaker,date,sermonUrl
"Structure, Agency, and Contingency",Henry Kim,2015-02-22,//35.190.93.184/sermons/20150222_sunday_dr_henry_kim_structure_agency_and_contingency.mp3
Comfort or Compassion?,Barry Gin,2015-02-15,//35.190.93.184/sermons/20150215_sunday_pastor_barry_comfort_or_compassion.mp3
Make Things Right With God,Barry Gin,2015-02-08,//35.190.93.184/sermons/20150208_sunday_pastor_barry_gin_make_things_right_with_god.mp3
Praying From The Gut,Barry Gin,2015-01-25,//35.190.93.184/sermons/20150125_sunday_pastor_barry_praying_from_the_gut.mp3
Are You Running From God?,Barry Gin,2015-01-18,//35.190.93.184/sermons/20150118_sunday_pastor_barry_gin_are_you_running_from_god.mp3
Why Do You Want To Be Blessed?,Barry Gin,2015-01-04,//35.190.93.184/sermons/20150104_sunday_pastor_barry_gin_why_do_you_want_to_be_blessed.mp3
A Messy Christmas,Barry Gin,2014-12-21,//35.190.93.184/sermons/20141221_sunday_pastor_barry_a_messy_christmas.mp3
Experience Perfect Peace!,Barry Gin,2014-11-30,//35.190.93.184/sermons/20141130_sunday_pastor_barry_experience_perfect_peace.mp3
Consider the Steadfast Love of the Lord,Barry Gin,2014-11-23,//35.190.93.184/sermons/20141123_sunday_pastor_barry_consider_the_steadfast_love_of_the_lord.mp3
The Christian Caregiving Heart,Barry Gin,2014-11-16,//35.190.93.184/sermons/20141116_sunday_pastor_barry_the_christian_caregiving_heart.mp3
Church Family Ties,Barry Gin,2014-11-09,//35.190.93.184/sermons/20141109_sunday_pastor_barry_gin_church_family_ties.mp3
What Is God Doing In You?,Barry Gin,2014-11-02,//35.190.93.184/sermons/20141102_sunday_pastor_barry_what_is_god_doing_in_you.mp3
Desist to Resist,Barry Gin,2014-10-26,//35.190.93.184/sermons/20141026_sunday_pastor_barry_gin_desist_to_resist.mp3
Look Our For Each Other,Barry Gin,2014-10-12,//35.190.93.184/sermons/20141012_sunday_pastor_barry_gin_look_out_for_each_other.mp3
Look Up To Your Leaders,Barry Gin,2014-10-05,//35.190.93.184/sermons/20141005_sunday_barry_gin_look_up_to_your_leaders.mp3
A Life And Death Experience,Barry Gin,2014-09-21,//35.190.93.184/sermons/20140921_sunday_pastor_barry_gin_a_life_and_death_exhortation.mp3
Aspire to Excellence,Barry Gin,2014-09-14,//35.190.93.184/sermons/20140914_sunday_pastor_barry_gin_aspire_to_excellence.mp3
The Gospel,Tony Chon,2014-09-07,//35.190.93.184/sermons/20140907_sunday_pastor_tony_the_gospel.mp3
The Sanctity of Sex,Barry Gin,2014-08-31,//35.190.93.184/sermons/20140831_sunday_pastor_barry_gin_the_sanctity_of_sex.mp3
The Privilege Of Our High Calling,Barry Gin,2014-08-24,//35.190.93.184/sermons/20140824_sunday_pastor_barry_gin_the_privilege_of_our_high_calling.mp3
"Elijah’s Battle Within (Summer Retreat 2014, Session 6)",Reverend Jung Lee,2014-08-10,//35.190.93.184/sermons/20140810_session_6_jung_lee_elijahs_battle_within.mp3
"God’s Sovereign Blessings (Summer Retreat 2014, Session 5)",Reverend Jung Lee,2014-08-09,//35.190.93.184/sermons/20140809_session_5_rev_jung_lee_gods_sovereign_blessings.mp3
"The Story of Elijah and the Widow (Summer Retreat 2014, Session 4)",Reverend Jung Lee,2014-08-07,//35.190.93.184/sermons/20140807_retreat_4_reverend_jung_lee_the_story_of_elijah_and_the_widow.mp3
